,filename,chunk
10,Access Management.txt,"Introduction  
Access management is the process of identifying, tracking, controlling and managing authorized or specified usersâ access to a system, application or functionality. In essence, it helps monitor and limit the number of users and their access to different systems and data in the company. There will be a specific hierarchy to the system where a few designations provide the permission to others to view/edit/initiate a process or document. 
Objective
The purpose of this Policy is to prevent unauthorized access to different systems and functionalities. It will also delineate a hierarchy through which the users that seek access to a system must go through. The document will also carry the procedure they must follow in order to gain the right to access the system/functionality. The document also lists all the systems/functions/documents that fall under this purview and the ones that can be access by anyone in the company."
11,Access Management.txt,"Scope
The scope of this Policy includes all XTRACAP employees. Each employee is responsible for carrying out his or her responsibilities under this Policy.
The scope of this policy will also include third parties that will gain access to the app or integrate with any of the services on our system.  
Reference
Procedure / Policy:
The procedure to gain the right to access any of these would be request access from the approver. The access is defined beforehand and includes - view only, to edit to partially edit. The approver can use his/her discretion to grant the right to access or consult the right authority and then approve/reject/modify the request. 
The following list includes (but is not limited to) the roles that are ones that are frequently request for access for folders, systems, functionalities and databases. The roles and the approver  the relationship between the user that requests access and the one that provides it.  Wherever there are two approvers, the former approver will give consent and only then the latter approver will provide the access

Enforcement
Violations of this Policy  are not limited to: accessing information and information processing facilities which the individual has no legitimate access; enabling unauthorized individuals to access the information; disclosing information in a way which violates applicable policy, Policy or other relevant regulations or laws; or inappropriately modifying or destroying information. Violations may result in access revocation, corrective action up to and including dismissal, and/or civil or criminal prosecution under applicable law."
12,Application Security.txt,"Overview
Web application vulnerabilities account for the largest portion of attack vectors outside of malware. It is crucial that any web application be assessed for vulnerabilities and any vulnerabilities be remediated prior to production deployment.
Purpose
The purpose of this policy is to define web application security assessments within Xtracap. Web application assessments are performed to identify potential or realized weaknesses as a result of inadvertent mis-configuration, weak authentication, insufficient error handling, sensitive information leakage, etc.  Discovery and subsequent mitigation of these issues will limit the attack surface of Xtracap services available both internally and externally as well as satisfy compliance with any relevant policies in place.

Scope
This policy covers all web application security assessments requested by any individual, group or department for the purposes of maintaining the security posture, compliance, risk management, and change control of technologies in use at Xtracap

All application security assessments will be performed by delegated security personnel either employed or contracted by Xtracap. All findings are considered confidential and are to be distributed to persons on a âneed to knowâ basis.  Distribution of any findings outside of Xtracap is strictly prohibited unless approved by the Chief Information Officer.

Any relationships within multi-tiered applications found during the scoping phase will be included in the assessment unless explicitly limited.  Limitations and subsequent justification will be documented prior to the start of the assessment.
Policy
4.1 Web applications are subject to security assessments based on the following criteria:"
13,Application Security.txt,"New or Major Application Release â will be subject to a full assessment prior to approval of the change control documentation and/or release into the live environment.
Third Party or Acquired Application â will be subject to full assessment after which it will be bound to policy requirements.
Point Releases â will be subject to an appropriate assessment level based on the risk of the changes in the application functionality and/or architecture.
Patch Releases â will be subject to an appropriate assessment level based on the risk of the changes to the application functionality and/or architecture.
Emergency Releases â An emergency release will be allowed to forgo security assessments and carry the assumed risk until such time that a proper assessment can be carried out.  Emergency releases will be designated as such by IT Lead or an appropriate manager who has been delegated this authority.

4.2 All security issues that are discovered during assessments must be mitigated based upon the following risk levels. The Risk Levels are based on the OWASP Risk Rating Methodology. Remediation validation testing will be required to validate fix and/or mitigation strategies for any discovered issues of Medium risk level or greater."
14,Application Security.txt,"High â Any  issue must be fixed immediately or other mitigation strategies must be put in place to limit exposure before deployment.  Applications with  issues are subject to being taken off-line or denied release into the live environment.
Medium â Medium risk issues should be reviewed to determine what is required to mitigate and scheduled accordingly.  Applications with medium risk issues may be taken off-line or denied release into the live environment based on the number of issues and if multiple issues increase the risk to an unacceptable level.  Issues should be fixed in a patch/point release unless other mitigation strategies will limit exposure.
Low â Issue should be reviewed to determine what is required to correct the issue and scheduled accordingly.

4.3 The following security assessment levels shall be established by the IT Infra team or other designated organization that will be performing the assessments. 
Full â A full assessment is comprised of tests for all known web application vulnerabilities using both automated and manual tools based on the OWASP Testing Guide.  A full assessment will use manual penetration testing techniques to validate discovered vulnerabilities to determine the overall risk of any and all discovered.
Quick â A quick assessment will consist of a (typically) automated scan of an application for the OWASP Top Ten web application security risks at a minimum.
Targeted â A targeted assessment is performed to verify vulnerability remediation changes or new application functionality.

4.4 The current approved web application security assessment tools in use which will be used for testing are:

â¢	

â¢"
15,Application Security.txt,"Other tools and/or techniques may be used depending upon what is found in the default assessment and the need to determine validity and risk are subject to the discretion of the Security Engineering team.

Policy Compliance
Compliance Measurement
The IT Infra team will verify compliance to this policy through various methods, including but not limited to, periodic walk-thr, video monitoring, business tool reports, internal and external audits, and feedback to the policy owner. 
Exceptions
Any exception to the policy must be approved by the Infosec team in advance. 
Non-Compliance
An employee found to have violated this policy may be subject to disciplinary action, up to and including termination of employment. 
Web application assessments are a requirement of the change control process and are required to adhere to this policy unless found to be exempt.   All application releases must pass through the change control process.  Any web applications that do not adhere to this policy may be taken offline until such time that a formal assessment can be performed at the discretion of the Chief Information Officer.
Related Standards, Policies and Processes
OWASP Top Ten Project
OWASP Testing Guide  
OWASP Risk Rating Methodology"
16,Asset management policy.txt,"Policy Statement
The policy highlights the management of all company owned assets from employees, third parties etc. 

Objective
The objective of this policy is to ensure the management of company owned assets in a rightful and orderly manner.

Policy.
All the company owned assets must be properly named, assigned & managed by the authorized person in the rightful manner.
All the laptops will be linked to AD, with Latest windows updates Installed.
IT employees are given laptop in consultation with the Reporting Manager of the concerned employee.
The laptops are named with prefix XTRACAP-XX followed by the serial number starting from 01.
For e.g.: XTRACAP-01 is the first laptop in the series
All Laptops have Latest Antivirus by default, and DLP Policy is in Place to block External USB Devices.
All the servers are named with prefix XTRACAP-SRV followed by the serial number starting from 01.
For e.g., XTRACAP-SRV-01 is the first in the series
All VMâs have Updates Installed before making them ready for use.
Antivirus can be installed from the link https://192.168.72.11:9111/html/pgmain/installw.htm
Only default ports are open on Laptops, on QA / UAT / Production server all ports are blocked by default, ports are opened as per business requirement and approval.
All users on the servers are given a unique username/user id.
All the Sales Group Members are provided with official mobile numbers & the same shall be allocated by Resource manager in consultation with their respective Reporting Manager during the onboarding process.
In case of resignation/termination of the contract of any employees, the resources would be deactivated and reassigned, if needed by the Resource Manager. 

EnforcementÂ 
Any employee found to have violated this policy may be subjected to disciplinary action in line with the HR Policy"
17,Backup Policy.txt,"Introduction:
The software and hardware that make up the computer networks are essential resources for Organizations. They aid staff in carrying out their everyday duties and without them important communication systems would not exist. 
Computer backup pose considerable risks to data and provides an opportunity to restore the data from backup if there is any requirement of it like in deletion, corruption, hardware failure situation etc.

Objective :
This policy is designed to give guidance and direction on minimizing the risk of lost of data. The purpose of Backup Policy is to establish an effective way for the backup & Restore.

Breaches of this policy should be regarded as serious misconduct which could lead to disciplinary action in accordance with the organizationâs policy.

Scope :

This policy applies to: 

All the data of Xtracap and anyone can request for backup and restore their data with proper approvals. 
Responsibilities and Duties 
IT Infra team shell ensure that all requested data is taken care for backup and restored as requested to them with proper approval.
Frequency
       Backup frequency is daily and weekly

Invocation
       This procedure shall be followed whenever there is:

Policy 

BACKUP INVOCATION:

Â·  Request for Backup
  If there is a business need to backup any information, a request must be initiated;  and this procedure will be triggered.

Â·  Conditional Backup Request (Changes Request / Patch Implementation)
If there is a change in any information system or a patch needs to be implemented, a backup request shall be initiated in order to roll back the information system to the previous status in case of any an unexpected failure / disaster caused from that change.

Backup Schedule
Weekly backup will be taken as per the request raise by the stack holders & available in the backup sheet maintained by the IT department . Every request of backup requirement must be part of this backup sheet.
	

RESTORE INVOCATION:"
18,Backup Policy.txt,"Â· Regular Restoration Request 
A Small level of restoration will be performed after backup is done, department responsible person whose data is restored would validate the same and acknowledges.  

Â· Emergency Restore
In the event of a disaster, an emergency restoration request will be initiated; and this procedure will be triggered

Â· Periodic Backup Restoration Testing
To ensure that the backup scheme is working as expected, restoration testing shall be initiated on daily basis on QA after scrubbing the customerâs personal data,"
19,BCP.txt,"Introduction  
Business survival in the current competitive environment necessitates planning for every type of business disruption including - but by no means limited to - the categories of natural disasters; hardware and communications failures; internal or external sabotage or acts of terrorism; and the failures of supply chain and sales affiliate organizations. While some business disruptions, may give advance warning others, such as terrorism, flash floods, fire, etc., can strike without notice. The threats that we (and by extension our clients) face today are more numerous and complex than those we have faced in the past. In addition, this is not going to change - tomorrow's threat environment will be much worse than todays. These disruptions usually affect the normal operations of the business, with results ranging from insured losses of replaceable tangibles to uninsurable capital losses, customer dissatisfaction, and even possible desertion. 

The situation gets more complex with the growth of e-commerce and other factors, having driven system availability expectations toward 24 X 7. The average organizationâs requirement for recovery time from a major system outage now ranges between 2 and 24 hours.

Xtracap being a customer-oriented organization with the philosophy of growing together with customers is sensitive to the impact that any such break down would have on its customerâs business and commitments. This has led to the formulation of a holistic approach to Disaster Management and Business Process Continuity for Xtracap as the Continuity of Business Plan. The purpose of the plan is to equip Xtracap to be able to respond to any type of situation - including those that we have not identified as a threat. To put in place management controls to respond quickly and to a plan as situations unfold."
20,BCP.txt,"Objective
The objectives of a Business Continuity Plan are (but not limited to):

To minimize interruptions to normal operations. 
To limit the extent of disruption and damage. 
To establish alternative means of operation in advance. 
To provide immediate solution for smooth and rapid restoration of service. 

Scope
The scope of the disaster recovery plan for the Xtracap  office covers high impact risks. 

High impact risks:

Loss of access to office facilities due to 
political unrest/disturbances â medium probability, high impact

Loss of office facilities due to 
Fire â Low probability, high impact
Floods- Low probability, high impact
Landslips/Subsidence - medium probability, high impact

Loss of network connectivity - low probability, high impact

Scope excludes: Client-owned information resources exclusively governed by clientâs own Disaster recovery and Business Continuity procedure. Also, area level disasters are outside the scope of BCP, but best efforts will still be made.
Reference
ISO/IEC 27001:2013
Stakeholders"
21,BCP.txt,"Xtracap Business Location
Primary Location
Xtracap Fintech
5th Floor, The Circle - Huda City Centre, Sector 29, Gurugram, Haryana 122002

Alternative Operational Plan
As because of our setup and arrangement, we may operate virtually from any location as most of our key employees have been given Laptop and Internet Data cards. During emergencies they can take current backup from their laptop or connect to clientâs server to continue their tasks, where copy of original data is also available.
Maintenance of Procedure
Ensuring that the procedure reflects ongoing changes to resources is crucial. This task includes updating the Plan and revising this document to reflect the updates, testing the updated Plan and training personnel. This Plan undergoes a formal review, at least once in a year, to confirm the incorporation of all changes since the previous review and the task is done by CISO. Further testing of BCP is also done once a year by use of either of simulation testing, walk-through, and checklist-based testing, etc.

Strategy for Continuity of Business Plan (CoBP)
The Plan is predicated on the validity of the following assumptions: 

The situation that causes the disaster is localized to the facility of Operations and Systems in the current office premises of Xtracap Fintech at Gurugram.
It should be noted however, that the Plan would still be functional and effective even in an area-wide disaster. Even though the basic priorities for restoration of essential services to the surrounding affected areas will normally take precedence over the recovery of an individual organization. Xtracap's Continuity of Business Plan can still provide for a more expeditious restoration of our resources for supporting key functions.
The continuity of business plan is based on the availability of the hot sites or the back-up resources, as described in this document. The accessibility of these, or equivalent back-up resources, is a critical requirement."
22,BCP.txt,"Overview of the Continuity of Business Plan (CoBP)
Xtracap recognizes the low probability of severe damage to Data Processing, Telecommunication, or Support Services capabilities at both Xtracap and any of its preferred vendors. Nevertheless, a plan like the COBP is necessary to identify the potential impact of such an incident on the assets of Xtracap and its clients.

In the event of a disaster affecting any of the functional areas, the Disaster Recovery Team serves as liaison between the functional area(s) affected and other external organizations providing major services. For the BCP purpose, following roles and representatives are identified as Disaster Recovery Team (DRT): -"
23,BCP.txt,"KEY MANAGERIAL PERSONNEL

The Designation & Contact Information of Key Managerial Personnel is mentioned below:



IMPORTANT Partner INFORMATION

The Contact Information of Partners & Service providers to be Contacted during a Disaster is given below: -"
24,BCP.txt,"Recovery Prioritization
Category I
Restoring the API connectivity between the Bank and NBFC so  that the payments are collected & disbursed smoothly.
Category II
Restoring the connectivity between various integration partners so that customer onboarding & management can start.
Category III
Tools used by the software development people.
Applications that are used by the accounts department.
Applications that are used by the IT Network department
Application that are used by the HR department 
Category IV
Application used by Quality Department
Application used by Admin department
Category V
All other left-out things

Procedure
The business continuity plan essentially requires infrastructure, system, people, and process management to be mobilized in case of any kind of contingency to re-locate the Offshore projects to alternate site to have the minimal impact on the business and to avoid reputation loss. The following sections describe the process of recovery of systems, people, and processes in times of disaster.

Disaster may be classified into 3 categories depending on the area affected due to it:
Local - affecting systems, infrastructure & people at a particular location or in a designated part of the organization.
Zonal - affecting the entire building due to factors such as fire, bomb blasts, etc;
Regional - affecting the building and surrounding areas due to factors like major terrorist attack, political turmoil, earthquakes, floods etc.

The Disaster Recovery Team (DRT) is formed of the employees by management or CISO from the various practices/ work groups of the company and is authorized to decide on:
Identifying critical activities and projects in line with DR & BCP.
Mobilization of manpower to re-locate the project depending on the type of contingency.


Disaster Recovery Process Flow
Disaster Recovery Preparation

The Disaster Recovery Team (DRT) led by the Disaster Recovery Manager will:"
25,BCP.txt,"Get ready the list of all personnel's name and their telephone numbers.
Keep a list of Key Managerial Personnel for business continuity 
Have the bridge number handy to get on the conference call.
Make all personnel aware of their tasks and responsibilities.
Maintain a list of hardware resources and desktops required.
Maintain a list of software required for business continuity.
Provide CDs of the software required to respective Manager and to the critical resources identified by them.
Identify critical services without which work may be hampered.
Identify critical services that need to be restored on priority â Internet, email, Vendor Domain, and VPN connectivity.
Identify DR site/s that will be used when a disaster occurs. Keep direction to the DR site readily available.
Identify any additional item that would be needed at the DR site so that it can be transported when required.
Keep a list of primary vendors for assistance at the time of emergency 
The IT Software Representatives of the DRT are required to take backup of important files.
The IT Software Representatives of the DRT to ensure data is regularly backed up as per backup policy.
The IT Software Representatives of the DRT to Test and evaluate the DR plan regularly.

Initiation of the Natural Disaster Recovery Plan (DRP)

Initiation of the DRP & CoBP is the responsibility of the DRT Manager or Director.
Activate the Damage Assessment Team (DAT), which is a nominated team comprising of DRT members. 
Update the Director to initiate damage control exercises with the clients considering the criticality matrix
Respective Communication Manager will inform the domestic clients about the impact of the damages and the immediate plans"
26,BCP.txt,"Activities depending upon the nature of loss 

Case 1 â Loss of Access to Office Premises â Xtracap Remains Functional

Office is functional; however, accessibility of people to reach office is restricted. 

Respective Manager will identify the criticality of project and its deliverables.
Manager will identify critical people who need to resume work.
Manager will intimate critical people to resume work immediately - those having system, internet, and access to requisite VPN connectivity.
DRT Leader will take decision with the team whether to use the DR site 
If a decision is taken not to use the business center but have people work from home, Manager will be required to do the following: -
Intimate critical people to resume work immediately - those having system, internet, and access to requisite VPN connectivity.
Arrange data cards for internet connection for those not having it. Manager will get in touch with the identified vendors to supply the same.
Arrange systems for those who have no system. Manager will coordinate with the vendor to provide hardware and the data card.
CDs with the software required to resume work will be made available to critical project team through courier or by reaching out.
Manager will request IT-Support/onsite counterpart to provide VPN access to those not having it and are critical to the delivery.

Case 2 â Loss of Access to Office Premises âXtracap is non-Functional"
27,BCP.txt,"Respective Manager will identify the criticality of project and its deliverables.
Manager will identify critical people who need to resume work.
Manager will intimate critical people to resume work immediately - those having system, internet, and access to requisite VPN connectivity.
DRT Leader will take decision with the team whether to use the DR site. If a decision is taken not to use the business center but have people work from home, Manager will be required to do the following: -
Arrange data cards for internet connection for those not having it. Manager will get in touch with the identified vendors to supply the same. 
Arrange systems for those who have no system. Manager will coordinate with the vendor to provide hardware and the data card.
CDs with the software required to resume work will be made available to critical project team through courier or by reaching out.
Manager will request IT-Support/onsite counterpart to provide VPN access to those not having it and are critical to the delivery.

Damage Assessment and Salvage
This subsection contains instructions to Disaster Recovery Team for disaster response, disaster assessment and recovery efforts."
28,BCP.txt,"Plan of Action
Disaster Recovery Manager to notify team members, and vendors to report to the site for initial damage assessment and clean up. 
Disaster Recovery Manager to notify insurance representative, if any.
Disaster Recovery Manager to issue work-orders and call appropriate personnel. 
Take a service representative from each of the appropriate vendors, the insurance claims representative and appropriate department personnel into the site. 
Disaster Recovery Team members to review and assess the damage to the facility. List all equipment and the extent of damage. List damage to all support systems (power, A/C, fire suppression, communications, etc.). 
Disaster Recovery Team members to notify the Disaster Recovery Manager (DRM) and Director, as to the severity of the damage and what can potentially be salvaged. 
Disaster Recovery Team members to notify the Disaster Recovery Manager if the area can be restored to the required level of operational capability in the required timeframe. 


Salvage Operations 
Plan of Action
Disaster Recovery Manager to initiate the Emergency Notification List and have all Disaster Recovery Team members report to the Staging Area. 
Disaster Recovery Team Have the Manager Administration to determine which equipment and furniture can be salvaged. Photograph all damaged areas as soon as possible for potential insurance claims. 
Disaster Recovery Team Important ** before performing any salvage operation contact Insurance Team to coordinate with possible insurance claims requirements and appraisals. 
Have the staff start salvaging any furniture and equipment. 
Based upon advice from Insurance Team and Infrastructure team, contact computer hardware refurbishes regarding reconditioning of damaged equipment 
Disaster Recovery Manager to meet with the Director to provide status on salvage operations."
29,BCP.txt,"Security 
This subsection contains instructions to the Security for disaster response and recovery efforts. 

Plan of Action
The Security personnel to ensure that all facets of security protection Staff are afforded, relative to entry/exit controls, transportation of information, etc. at both the damaged and backup sites. 

Information Dissemination
Plan of Action

In instances where media are notified immediately, due to fire department or police involvement, the Director or person nominated by him, will proceed to the scene at once to gather initial facts. Emphasis must be placed upon getting pertinent information to the news media as quickly as possible. 
When appropriate, prepare news releases on a periodic basis for distribution to the local media list. 
If employee injuries or fatalities are involved, notify HR to send appropriate management personnel to the homes of the involved families. 
HR notifies Disaster Recovery Manager and Director as soon as families have been informed. This will permit the release of names and addresses of victims so that families of those not involved can be relieved of anxiety. 
To contact the hospitals where injured have been taken to coordinate the release of information. 
Coordinate follow-up news releases after the immediate emergency has passed to present Xtracap in as positive light as possible. Possible topics could include: 
What has been done to help employees?
What are plans for disaster recovery?
What are plans for business continuity?
What are plans for reconstruction? 
What has been done to express gratitude to the community for its help? 
What has been done to prevent recurrence of this type of emergency?  

Infrastructure and Telecommunications 
This subsection contains instructions to the Infrastructure and Telecommunications Systems team for disaster response and recovery efforts. 

Plan of Action"
30,BCP.txt,"Receives report of disaster.
Oversees assessment of damage to infrastructure and telecommunications facilities. Directs contingency and recovery efforts. Provides updates to Disaster Recovery Team, Disaster Recovery Manager along with Top Management.
Arranges for telecommunications services to support critical functions. Procures stock to repair or replace damaged equipment. Restores full services in a timely manner. 
Assists with restoration of cable and wire, as needed. Assists other departments with relocation and restoration of data facilities. 



Disaster Recovery Plan (DRP) & Strategy for IT Network

Network Diagram"
31,BCP.txt,Monitoring & Alert	:	Yes
